file_1,file_2,event_diff,agent_1,agent_2,eventCount_1," eventCount_2",successCount_1,successCount_2
METS.704b7c5d-d448-4b51-b219-0af38db64583.xml,METS.537b4237-8ba4-4633-912a-4d14d28c3051.xml,,Archivematica-1.14,a3m (unknown version),108,100,55,50
ocr-image-860aced9-b5d8-4ef9-b018-3811a4eb1654.txt,ocr-image-860aced9-b5d8-4ef9-b018-3811a4eb1654.txt,,Archivematica-1.14,,4,0,1,0
checksum.sha256,checksum.sha256,,Archivematica-1.14,a3m (unknown version),3,3,1,1
ocr-image.png,ocr-image.png,,Archivematica-1.14,a3m (unknown version),8,8,6,6
Agreement-Gift-MBRS-project.pdf,Agreement-Gift-MBRS-project.pdf,,Archivematica-1.14,a3m (unknown version),3,3,1,1
View_from_lookout_over_Queenstown_towards_the_Remarkables_in_spring-3723e8ef-9b74-43b0-afd8-608fa6080268.tif,View_from_lookout_over_Queenstown_towards_the_Remarkables_in_spring-3723e8ef-9b74-43b0-afd8-608fa6080268.tif,,Archivematica-1.14,,3,0,1,0
checksum.md5,checksum.md5,,Archivematica-1.14,a3m (unknown version),3,3,1,1
checksum.sha512,checksum.sha512,,Archivematica-1.14,a3m (unknown version),3,3,1,0
metadata.csv,metadata.csv,,Archivematica-1.14,a3m (unknown version),3,3,1,1
beihai-797687fd-b324-430d-907c-11bf4ec63971.tif,beihai-797687fd-b324-430d-907c-11bf4ec63971.tif,,Archivematica-1.14,,3,0,1,0
beihai.tif,beihai.tif,,Archivematica-1.14,a3m (unknown version),9,9,6,6
checksum.sha1,checksum.sha1,,Archivematica-1.14,a3m (unknown version),3,3,1,1
piiTestDataCreditCardNumbers.txt,piiTestDataCreditCardNumbers.txt,,Archivematica-1.14,a3m (unknown version),7,7,5,5
METS.xml,METS.xml,,Archivematica-1.14,,3,0,1,0
Montréal.png,Montréal.png,,Archivematica-1.14,a3m (unknown version),9,9,6,6
MARBLES.TGA,MARBLES.TGA,,Archivematica-1.14,a3m (unknown version),8,8,5,5
bird-c1d3fc86-222f-4c84-84b2-a7175615c5f4.wav,bird-c1d3fc86-222f-4c84-84b2-a7175615c5f4.wav,,Archivematica-1.14,,3,0,1,0
Montreal-a7e136a6-970f-44b0-9eb8-c77966df25fa.txt,Montreal-a7e136a6-970f-44b0-9eb8-c77966df25fa.txt,,Archivematica-1.14,,4,0,1,0
directory_tree.txt,directory_tree.txt,,Archivematica-1.14,a3m (unknown version),3,3,1,1
identifiers.json,identifiers.json,,Archivematica-1.14,a3m (unknown version),3,3,1,1
rights.csv,rights.csv,,Archivematica-1.14,a3m (unknown version),3,3,1,1
View_from_lookout_over_Queenstown_towards_the_Remarkables_in_spring.jpg,View_from_lookout_over_Queenstown_towards_the_Remarkables_in_spring.jpg,,Archivematica-1.14,a3m (unknown version),9,7,6,4
MARBLES-94395518-6502-4695-ba33-1338a7402f66.tif,MARBLES-94395518-6502-4695-ba33-1338a7402f66.tif,,Archivematica-1.14,,3,0,1,0
bird.mp3,bird.mp3,,Archivematica-1.14,a3m (unknown version),8,8,5,5
